"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Steer Clear","W","C","141646","6.55","18403","9.50","47064","43.1%","54.8%","7785","53.8%","10692","53.4%","18477","53.6%","28558","55.6%","-2.0pp"
"Sterling Keykeeper","W","C","137986","6.26","21072","8.79","82650","65.0%","56.4%","14419","56.2%","18378","56.5%","32797","56.4%","49822","56.4%","-0.0pp"
"Sterling Supplier","W","C","142685","6.69","19489","9.51","57130","49.1%","56.4%","8819","55.7%","13318","57.8%","22137","57.0%","34987","56.1%","0.9pp"
"Take Up the Shield","W","C","132574","5.83","23671","7.83","100600","70.4%","57.0%","16107","56.6%","23275","59.4%","39382","58.3%","61142","56.2%","2.0pp"
"Thunder Lasso","W","U","52127","5.88","6995","8.38","18988","45.8%","54.0%","3103","52.1%","4279","54.7%","7382","53.6%","11572","54.2%","-0.6pp"
"Trained Arynx","W","C","116385","4.96","25031","6.31","130454","85.4%","57.5%","23634","60.5%","28471","55.7%","52105","57.9%","76667","57.1%","0.8pp"
"Vengeful Townsfolk","W","C","137689","6.25","17371","9.12","56263","54.3%","55.4%","9642","54.7%","12694","54.5%","22336","54.6%","33952","55.9%","-1.3pp"
"Wanted Griffin","W","C","141837","6.56","16860","9.66","42226","42.2%","54.8%","6701","53.1%","9793","56.1%","16494","54.9%","25765","54.8%","0.0pp"
"Archmage's Newt","U","R","14247","3.46","2741","4.26","11159","71.7%","51.1%","1960","52.8%","2934","52.6%","4894","52.6%","6216","49.8%","2.8pp"
"Canyon Crab","U","U","46926","5.11","8740","6.68","36152","72.8%","51.6%","6450","53.7%","9635","53.3%","16085","53.5%","19958","50.1%","3.3pp"
"Daring Thunder-Thief","U","C","149955","7.61","17473","10.96","25087","25.2%","49.5%","4043","48.8%","6637","51.6%","10680","50.5%","14371","48.7%","1.9pp"
"Deepmuck Desperado","U","U","47166","5.30","7738","7.13","25984","59.3%","50.1%","4598","48.3%","7083","53.7%","11681","51.6%","14247","48.8%","2.7pp"
"Djinn of Fool's Fall","U","C","145850","7.13","16733","10.44","33587","35.2%","48.8%","5416","48.3%","8953","50.3%","14369","49.5%","19183","48.2%","1.3pp"
"Double Down","U","M","5682","3.20","1533","3.29","4778","55.5%","50.8%","782","56.3%","1255","53.8%","2037","54.7%","2697","47.5%","7.2pp"
"Duelist of the Mind","U","R","9773","2.46","3804","2.62","19105","86.9%","53.0%","3425","57.9%","5267","56.0%","8692","56.8%","10366","49.7%","7.1pp"
"Emergent Haunting","U","U","47315","5.16","8708","6.60","32777","66.2%","50.8%","5774","52.8%","8908","51.7%","14682","52.1%","18039","49.7%","2.4pp"
"Failed Fording","U","C","146879","7.24","18928","10.34","43025","39.6%","50.9%","7179","49.0%","11807","54.4%","18986","52.4%","23873","49.5%","2.8pp"
"Fblthp, Lost on the Range","U","R","11656","3.00","2823","3.38","11746","75.6%","48.2%","1984","45.0%","3299","48.2%","5283","47.0%","6412","49.0%","-2.1pp"
"Fleeting Reflection","U","U","59989","7.42","6489","11.01","4410","11.8%","47.3%","686","43.4%","1186","50.0%","1872","47.6%","2521","46.8%","0.8pp"
"Geralf, the Fleshwright","U","M","3074","1.64","1825","1.62","9206","87.5%","52.1%","1585","55.0%","2539","56.4%","4124","55.8%","5070","49.0%","6.8pp"
"Geyser Drake","U","C","131310","5.99","16808","8.54","57202","60.4%","50.1%","9929","49.4%","15377","52.4%","25306","51.2%","31815","49.1%","2.1pp"
"Harrier Strix","U","C","145614","7.19","16338","10.46","32821","35.3%","49.8%","5628","49.3%","8528","53.3%","14156","51.7%","18592","48.3%","3.4pp"
"Jailbreak Scheme","U","C","147220","7.18","20887","10.03","50084","41.5%","52.6%","8158","51.1%","13656","57.1%","21814","54.9%","28035","50.7%","4.2pp"
"The Key to the Vault","U","R","17908","4.60","2050","6.73","3102","26.7%","46.3%","506","41.3%","801","46.6%","1307","44.5%","1777","47.7%","-3.1pp"
"Loan Shark","U","C","126659","5.56","19523","7.73","80919","72.2%","51.7%","13584","51.5%","22276","54.7%","35860","53.5%","44906","50.3%","3.3pp"
"Marauding Sphinx","U","U","32880","3.51","8730","4.12","42823","84.5%","53.2%","6903","55.4%","11879","58.3%","18782","57.2%","23929","49.9%","7.3pp"
"Metamorphic Blast","U","U","48145","5.19","8078","6.94","32384","69.2%","52.4%","5289","51.0%","9067","57.6%","14356","55.2%","17889","50.0%","5.2pp"
"Nimble Brigand","U","U","38061","4.07","8214","4.99","38060","81.8%","51.4%","6745","52.2%","10121","53.0%","16866","52.7%","21107","50.2%","2.5pp"
"Outlaw Stitcher","U","U","33592","3.61","9489","4.25","46170","85.2%","51.7%","7616","50.8%","12616","55.5%","20232","53.7%","25806","50.1%","3.6pp"
"Peerless Ropemaster","U","C","151588","7.86","17381","11.35","20300","20.2%","51.3%","3169","50.8%","5511","54.4%","8680","53.1%","11593","49.9%","3.2pp"
"Phantom Interference","U","C","132413","5.99","20173","8.23","76453","66.1%","52.5%","13152","53.4%","20568","56.6%","33720","55.4%","42406","50.2%","5.1pp"
"Plan the Heist","U","U","53517","5.98","7827","8.32","22961","50.6%","52.4%","3721","51.1%","6313","57.0%","10034","54.8%","12866","50.4%","4.4pp"
"Razzle-Dazzler","U","C","136998","6.58","17459","9.25","50850","51.9%","48.8%","8901","47.8%","13586","51.3%","22487","49.9%","28260","47.9%","2.0pp"
"Seize the Secrets","U","C","145452","7.06","17985","10.19","39696","38.6%","50.8%","6772","49.7%","10775","54.1%","17547","52.4%","22050","49.4%","3.0pp"
"Shackle Slinger","U","U","52019","5.87","6399","8.38","16304","45.8%","48.2%","2644","47.2%","4382","50.9%","7026","49.5%","9261","47.1%","2.4pp"
"Shifting Grift","U","U","59208","7.37","6315","11.01","3513","9.6%","46.1%","552","43.7%","963","46.8%","1515","45.7%","1991","46.1%","-0.4pp"
"Slickshot Lockpicker","U","U","37752","3.93","9200","4.80","44967","85.1%","52.5%","7582","49.7%","12436","57.5%","20018","54.6%","24753","50.7%","3.9pp"
"Slickshot Vault-Buster","U","C","152428","8.01","17865","11.43","20735","20.3%","48.0%","3514","45.9%","5574","48.7%","9088","47.6%","11604","48.4%","-0.8pp"
"Spring Splasher","U","C","147821","7.51","18330","10.60","35742","34.2%","48.8%","6190","48.9%","9339","49.7%","15529","49.4%","20127","48.2%","1.1pp"
"Step Between Worlds","U","R","24842","6.02","2964","9.23","841","4.9%","45.5%","132","","236","","368","","469","",""
"Stoic Sphinx","U","R","7560","1.92","3889","1.93","20269","89.0%","54.3%","3415","58.5%","5540","59.4%","8955","59.0%","11220","50.4%","8.6pp"
"Stop Cold","U","C","140454","6.67","17322","9.69","45951","46.3%","50.9%","7360","47.9%","12593","55.7%","19953","52.8%","25866","49.4%","3.5pp"
"Take the Fall","U","C","142805","6.83","22884","9.25","75465","57.0%","52.6%","12706","51.7%","21026","56.5%","33732","54.7%","41445","50.9%","3.8pp"
"This Town Ain't Big Enough","U","U","49163","5.33","9252","7.06","35578","67.1%","51.7%","5595","48.9%","9848","56.4%","15443","53.7%","19994","50.0%","3.6pp"
"Three Steps Ahead","U","R","10361","2.60","3489","2.79","17037","84.3%","53.0%","2816","52.8%","4733","59.4%","7549","56.9%","9396","49.6%","7.3pp"
"Visage Bandit","U","U","46932","4.97","7786","6.70","29711","66.6%","51.5%","4958","50.8%","7907","53.9%","12865","52.7%","16784","50.5%","2.2pp"
"Ambush Gigapede","B","C","146366","7.07","21103","9.94","55476","44.6%","54.4%","8461","53.4%","14201","58.0%","22662","56.3%","32672","53.1%","3.2pp"
"Binding Negotiation","B","U","54441","6.07","7906","8.63","21686","46.8%","53.1%","3679","53.6%","5412","55.4%","9091","54.6%","12550","52.1%","2.6pp"
"Blacksnag Buzzard","B","C","143456","6.72","17228","9.85","39341","39.1%","52.0%","6936","50.3%","9527","52.4%","16463","51.5%","22860","52.3%","-0.8pp"
"Blood Hustler","B","U","29110","3.06","8722","3.57","46876","91.2%","54.6%","8496","55.4%","11855","56.8%","20351","56.2%","26490","53.3%","3.0pp"
"Boneyard Desecrator","B","C","146153","7.10","16624","10.53","29039","30.1%","50.8%","4622","49.9%","7041","52.5%","11663","51.5%","17385","50.4%","1.1pp"
"Caustic Bronco","B","R","7464","1.94","4159","1.97","22526","90.8%","55.2%","4099","63.8%","5573","55.3%","9672","58.9%","12774","52.4%","6.5pp"
"Consuming Ashes","B","C","96729","4.10","23410","5.12","123457","88.3%","55.6%","20164","55.7%","31948","60.2%","52112","58.5%","70938","53.4%","5.1pp"
"Corrupted Conviction","B","C","151949","7.79","17757","11.29","19684","18.9%","52.5%","3219","52.5%","4818","52.8%","8037","52.7%","11632","52.3%","0.4pp"
"Desert's Due","B","C","105395","4.41","25785","5.59","132822","86.3%","55.5%","22989","55.4%","33810","59.3%","56799","57.7%","75606","53.7%","4.0pp"
