"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Akul the Unrepentant","BR","R","11167","3.20","2428","3.68","9306","67.0%","52.0%","1446","51.5%","2269","55.7%","3715","54.0%","5572","50.6%","3.4pp"
"Annie Flash, the Veteran","WRG","M","3676","2.17","1748","2.16","8919","85.0%","56.4%","1498","59.7%","2009","60.3%","3507","60.1%","5368","53.9%","6.1pp"
"Annie Joins Up","WRG","R","18378","4.84","2629","6.94","5518","35.7%","54.8%","919","54.1%","1270","54.7%","2189","54.5%","3321","55.1%","-0.6pp"
"Assimilation Aegis","WU","M","4187","2.47","1662","2.52","7472","76.6%","54.2%","1314","56.0%","1884","59.1%","3198","57.8%","4235","51.5%","6.4pp"
"At Knifepoint","BR","U","39783","4.93","6419","6.41","23297","64.4%","50.4%","3955","50.0%","5602","50.9%","9557","50.5%","13682","50.3%","0.2pp"
"Badlands Revival","BG","U","40614","4.77","10179","5.86","44898","73.6%","56.2%","7069","54.0%","11054","59.6%","18123","57.4%","26555","55.3%","2.1pp"
"Baron Bertram Graywater","WB","U","42487","5.16","6419","7.13","20197","54.3%","53.2%","3281","51.1%","5083","56.4%","8364","54.3%","11834","52.4%","2.0pp"
"Bonny Pall, Clearcutter","UG","R","6038","1.81","4139","1.74","23086","91.0%","58.0%","3917","64.9%","5897","67.7%","9814","66.6%","12976","51.0%","15.6pp"
"Breeches, the Blastmaker","UR","R","14987","4.13","2516","5.30","6345","44.5%","48.7%","1082","50.0%","1672","49.4%","2754","49.6%","3584","48.0%","1.7pp"
"Bruse Tarl, Roving Rancher","WR","R","7505","2.20","3828","2.17","20097","87.6%","56.4%","3512","60.1%","4707","61.5%","8219","60.9%","11837","53.2%","7.7pp"
"Cactusfolk Sureshot","RG","U","35570","4.22","7382","5.31","33061","74.7%","56.1%","5494","58.2%","7448","57.6%","12942","57.8%","20078","55.0%","2.8pp"
