"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Dog Umbra","W","C","185371","5.31","31266","7.20","149007","78.3%","56.2%","24591","54.9%","30071","56.3%","54662","55.6%","93409","56.5%","-0.9pp"
"Envoy of the Ancestors","W","U","56442","4.28","10285","5.55","49929","80.8%","55.0%","8496","54.2%","10290","54.0%","18786","54.1%","31171","55.5%","-1.5pp"
"Essence Reliquary","W","U","86547","7.34","13913","9.61","27585","33.4%","53.1%","4553","49.0%","6193","51.5%","10746","50.4%","16640","54.6%","-4.2pp"
"Expel the Unworthy","W","C","204377","6.20","24453","9.05","74286","50.9%","53.4%","12489","51.1%","15377","52.2%","27866","51.7%","46408","54.4%","-2.7pp"
"Flare of Fortitude","W","R","30677","5.43","3391","8.46","3484","17.3%","52.9%","477","","715","51.7%","1192","52.1%","2293","53.4%","-1.3pp"
"Glyph Elemental","W","U","37054","2.81","14049","3.10","78576","91.5%","56.9%","14271","62.0%","15883","54.4%","30154","58.0%","48129","56.2%","1.8pp"
"Guardian of the Forgotten","W","U","67728","5.21","10372","7.03","41348","66.6%","54.3%","6698","53.5%","8533","53.9%","15231","53.7%","26156","54.6%","-0.9pp"
"Guide of Souls","W","R","8889","1.71","5867","1.67","35358","94.0%","60.4%","6429","71.7%","7339","63.2%","13768","67.2%","21397","56.0%","11.2pp"
"Hexgold Slith","W","C","176641","5.10","33926","6.59","176952","85.3%","56.8%","31872","58.2%","33849","53.2%","65721","55.6%","111257","57.5%","-1.8pp"
"Indebted Spirit","W","U","71952","5.47","11549","7.29","46832","67.6%","55.6%","8267","55.8%","9058","52.6%","17325","54.1%","29234","56.5%","-2.4pp"
"Inspired Inventor","W","C","194606","5.65","32150","7.71","150744","77.7%","55.7%","25869","54.8%","29475","53.9%","55344","54.3%","95285","56.4%","-2.1pp"
"Jolted Awake","W","C","226051","7.51","30872","10.51","65649","35.1%","56.3%","10431","54.6%","13187","55.0%","23618","54.9%","42036","57.1%","-2.3pp"
"Mandibular Kite","W","C","200350","6.03","37443","7.70","172925","74.8%","57.9%","30601","60.4%","33018","55.9%","63619","58.1%","108478","57.9%","0.2pp"
"Metastatic Evangel","W","U","47042","3.55","13496","4.10","74379","90.3%","56.4%","13435","58.4%","14594","54.4%","28029","56.3%","46299","56.5%","-0.2pp"
"Muster the Departed","W","U","77657","6.28","9910","8.96","20804","35.5%","53.2%","3642","53.6%","4315","51.3%","7957","52.4%","12712","53.6%","-1.2pp"
"Nyxborn Unicorn","W","C","200022","5.92","32631","8.01","148149","74.6%","56.2%","26158","55.6%","28762","53.7%","54920","54.6%","92516","57.2%","-2.6pp"
"Ocelot Pride","W","M","4334","1.68","2654","1.65","14838","89.2%","59.0%","2788","72.6%","2923","58.4%","5711","65.3%","9051","55.0%","10.3pp"
"Pearl-Ear, Imperial Advisor","W","R","17571","3.29","4610","3.66","22278","80.2%","55.6%","3827","56.7%","4526","54.7%","8353","55.6%","13989","55.6%","0.0pp"
"Phelia, Exuberant Shepherd","W","R","10453","1.98","5635","1.99","31917","91.9%","57.6%","5864","63.3%","6484","57.0%","12348","60.0%","19450","56.0%","4.0pp"
"Proud Pack-Rhino","W","U","58233","4.27","13290","5.28","70711","87.0%","56.9%","11883","57.6%","14085","55.7%","25968","56.6%","44760","57.1%","-0.5pp"
"Rosecot Knight","W","C","231583","7.87","28180","11.27","42003","24.9%","53.9%","6521","51.6%","8718","52.8%","15239","52.3%","26768","54.7%","-2.4pp"
"Solstice Zealot","W","C","212104","6.62","34088","8.90","137192","65.6%","57.4%","22968","56.6%","26888","56.0%","49856","56.3%","87359","58.1%","-1.8pp"
"Static Prison","W","U","63181","4.85","14778","5.73","70469","77.5%","57.9%","11583","57.7%","14360","59.6%","25943","58.7%","44203","57.4%","1.3pp"
"Thraben Charm","W","C","195875","5.76","35134","7.65","163885","76.4%","56.9%","26481","56.3%","32396","57.2%","58877","56.8%","104915","56.9%","-0.1pp"
"Voltstorm Angel","W","U","47363","3.64","12292","4.24","64584","86.3%","56.6%","9854","56.3%","13381","57.4%","23235","56.9%","41466","56.3%","0.6pp"
"White Orchid Phantom","W","R","22481","3.89","4106","5.02","17656","71.8%","55.7%","3070","54.1%","3538","52.6%","6608","53.3%","11051","57.1%","-3.8pp"
"Wing It","W","C","226761","7.48","31138","10.45","80359","42.7%","56.0%","12377","53.9%","15079","54.9%","27456","54.4%","52901","56.8%","-2.4pp"
"Wrath of the Skies","W","R","14422","2.78","5214","2.84","23082","75.3%","54.0%","3719","54.5%","5278","55.4%","8997","55.0%","14098","53.4%","1.6pp"
"Aether Spike","U","C","208750","6.29","32565","8.64","119293","62.1%","54.0%","20529","55.5%","31333","56.1%","51862","55.9%","67479","52.5%","3.4pp"
"Amphibian Downpour","U","R","18467","3.26","4419","3.79","21270","83.4%","52.9%","3524","50.7%","5571","57.0%","9095","54.5%","12055","51.6%","2.9pp"
"Bespoke Battlewagon","U","U","66385","5.11","12177","6.51","45604","63.7%","53.3%","7684","52.1%","12094","56.1%","19778","54.5%","25931","52.4%","2.2pp"
"Brainsurge","U","U","71782","5.39","12116","7.16","50567","70.0%","55.1%","8720","54.9%","14297","59.5%","23017","57.8%","27615","53.0%","4.8pp"
"Consign to Memory","U","U","88894","7.63","10323","11.12","9672","15.8%","50.5%","1551","48.2%","2577","51.6%","4128","50.4%","5555","50.6%","-0.3pp"
"Copycrook","U","U","66248","4.93","10609","6.64","41786","68.6%","51.6%","6473","49.6%","11724","55.2%","18197","53.2%","23590","50.2%","2.9pp"
"Corrupted Shapeshifter","U","C","214036","6.62","22165","10.08","49191","38.8%","49.0%","7915","45.8%","12754","50.7%","20669","48.8%","28251","49.0%","-0.2pp"
"Deem Inferior","U","C","212093","6.32","39128","8.36","167654","71.1%","55.8%","27250","54.6%","46991","60.0%","74241","58.0%","93607","54.2%","3.8pp"
"Depth Defiler","U","U","42369","3.16","14490","3.54","76603","88.1%","55.8%","12157","56.1%","21261","61.3%","33418","59.4%","42512","52.8%","6.6pp"
"Dreamtide Whale","U","R","19812","3.61","4596","4.23","19808","73.3%","53.4%","3517","52.4%","5281","56.7%","8798","55.0%","11077","51.9%","3.1pp"
"Electrozoa","U","C","226145","7.54","30098","10.61","62877","35.5%","52.9%","10706","51.6%","15653","54.5%","26359","53.3%","36543","52.6%","0.8pp"
"Emrakul's Messenger","U","U","49604","3.65","12589","4.37","63305","85.4%","54.1%","11176","56.0%","17232","56.1%","28408","56.1%","34749","52.4%","3.7pp"
