"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Abraded Bluffs","","C","112786","5.21","21175","7.25","96450","76.3%","54.5%","17298","56.3%","21580","52.8%","38878","54.4%","55296","54.2%","0.2pp"
"Arid Archway","","U","89093","6.11","15055","8.45","58399","65.5%","53.8%","9782","50.1%","13456","52.2%","23238","51.3%","33453","55.0%","-3.7pp"
"Bristling Backwoods","","C","106500","4.80","22213","6.60","109426","81.9%","55.1%","20002","57.7%","23685","53.4%","43687","55.4%","61878","54.4%","0.9pp"
"Conduit Pylons","","C","207027","5.31","38865","7.50","207951","88.8%","55.4%","38247","55.5%","48090","56.2%","86337","55.9%","114759","54.4%","1.5pp"
"Creosote Heath","","C","103536","4.61","23696","6.24","127699","88.5%","56.4%","23706","59.2%","27367","54.2%","51073","56.5%","72242","56.0%","0.5pp"
"Eroded Canyon","","C","112488","5.32","21234","7.29","93495","75.2%","52.8%","17188","54.1%","23773","54.1%","40961","54.1%","50807","51.3%","2.8pp"
"Festering Gulch","","C","104211","4.71","25778","6.25","134825","86.6%","55.7%","24681","57.9%","30730","56.0%","55411","56.8%","74052","54.2%","2.6pp"
"Forlorn Flats","","C","112493","5.16","23821","7.05","114167","79.9%","55.0%","20904","56.9%","26855","55.1%","47759","55.9%","63660","54.0%","1.9pp"
"Jagged Barrens","","C","105055","4.79","21431","6.53","105141","82.7%","54.0%","19265","56.0%","25508","54.2%","44773","55.0%","58394","52.8%","2.2pp"
"Lonely Arroyo","","C","115088","5.43","22137","7.50","94581","72.3%","53.6%","16980","55.0%","23380","53.9%","40360","54.4%","51898","52.6%","1.8pp"
"Lush Oasis","","C","108374","4.99","23699","6.76","113667","80.0%","54.8%","20977","56.5%","27004","54.9%","47981","55.6%","61683","53.6%","2.0pp"
"Mirage Mesa","","C","182939","4.51","39526","6.24","222839","94.3%","54.9%","41183","56.7%","51357","52.7%","92540","54.4%","126938","55.0%","-0.5pp"
